@relation iris-10an-nn

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute class {c1,c2,c3}

@data
0.194444,0.583333,0.084746,0.041667,c1
0.138889,0.416667,0.067797,0,c1
0.222222,0.708333,0.084746,0.125,c1
0.138889,0.690282,0.101695,0.041667,c1
0.333333,0.309342,0.067797,0.041667,c1
0.222222,0.583333,0.084746,0.041667,c1
0.138889,0.416667,0.067797,0.083333,c1
0.083333,0.5,0.067797,0.041667,c1
0.792784,0.708333,0.084746,0.041667,c1
0.333333,0.125,0.508475,0.5,c2
0.555556,0.541667,0.919876,0.625,c2
0.166667,0.166667,0.389831,0.375,c2
0.472222,0.083333,0.508475,0.375,c2
0.5,0.333333,0.508475,0.5,c2
0.5,0.333333,0.627119,0.458333,c2
0.583333,0.375,0.559322,0.5,c2
0.388889,0.25,0.423729,0.375,c2
0.333333,0.166667,0.457627,0.375,c2
0.187902,0.458333,0.627119,0.583333,c2
0.611111,0.416667,0.357676,0.645627,c3
0.833333,0.375,0.898305,0.708333,c3
0.611111,0.5,0.694915,0.457872,c3
0.666667,0.541667,0.79661,0.833333,c3
0.162934,0.5,0.847458,0.708333,c3
0.555556,0.333333,0.694915,0.583333,c3
0.611111,0.416667,0.711864,0.791667,c3
0.527778,0.583333,0.745763,0.480844,c3
0.444444,0.890681,0.490812,0.708333,c3
0.111111,0.5,0.050847,0.041667,c1
0.722222,0.5,0.79661,0.916667,c3
0.222222,0.625,0.067797,0.041667,c1
0.083333,0.458333,0.084746,0.482649,c1
0.027778,0.375,0.067797,0.041667,c1
0.305556,0.583333,0.118644,0.041667,c1
0.083333,0.666667,0,0.041667,c1
0.194444,0.583333,0.101695,0.125,c1
0.111111,0.5,0.101695,0.041667,c1
0.305556,0.583333,0.084746,0.125,c1
0.194444,0.541667,0.067797,0.041667,c1
0.456139,0.5,0.627119,0.541667,c2
0.583333,0.5,0.59322,0.583333,c2
0.361111,0.416667,0.59322,0.583333,c2
0.555556,0.208333,0.661017,0.583333,c2
0.638889,0.416667,0.576271,0.541667,c2
0.65442,0.125,0.576271,0.5,c2
0.333333,0.25,0.576271,0.458333,c2
0.194444,0.125,0.389831,0.375,c2
0.777778,0.056849,0.830508,0.833333,c3
0.694444,0.416667,0.762712,0.833333,c3
0.416667,0.333333,0.694915,0.958333,c3
0.555556,0.291667,0.661017,0.708333,c3
0.5,0.416667,0.579651,0.708333,c3
0.583333,0.333333,0.779661,0.833333,c3
0.726693,0.333333,0.779661,0.806634,c3
0.944444,0.416667,0.864407,0.715733,c3
0.583333,0.463183,0.762712,0.708333,c3
0.472222,0.746981,0.644068,0.708333,c3
0.416667,0.833333,0.033898,0.041667,c1
0.638889,0.375,0.663921,0.5,c2
0.694444,0.333333,0.206722,0.541667,c2
0.166667,0.416667,0.067797,0.041667,c1
0.305556,0.791667,0.118644,0.125,c1
0,0.416667,0.016949,0,c1
0.388889,1,0.084746,0.125,c1
0.222222,0.541667,0.118644,0.166667,c1
0.194444,0.416667,0.101695,0.041667,c1
0.25,0.875,0.084746,0,c1
0.934566,0.5,0.033898,0.041667,c1
0.333333,0.625,0.050847,0.041667,c1
0.194444,0.625,0.050847,0.083333,c1
0.722222,0.986542,0.661017,0.583333,c2
0.416667,0.291667,0.525424,0.375,c2
0.527778,0.083333,0.59322,0.583333,c2
0.666667,0.416667,0.677966,0.666667,c2
0.416667,0.931556,0.491525,0.458333,c2
0.472222,0.291667,0.694915,0.625,c2
0.410928,0.291667,0.037834,0.5,c2
0.388889,0.375,0.542373,0.5,c2
0.555556,0.541667,0.847458,0.748982,c3
0.416667,0.459317,0.694915,0.75,c3
0.583333,0.291667,0.728814,0.891297,c3
0.583333,0.5,0.728814,0.916667,c3
0.944444,0.75,0.966102,0.875,c3
0.361111,0.333333,0.354342,0.791667,c3
0.5,0.25,0.330983,0.541667,c3
0.722222,0.458333,0.694915,0.916667,c3
0.472222,0.375,0.59322,0.583333,c2
0.472222,0.583333,0.59322,0.625,c2
0.611111,0.416667,0.762712,0.988324,c3
0.215804,0.333333,0.644068,0.708333,c3
0.194444,0.666667,0.067797,0.041667,c1
0.138889,0.583333,0.156289,0.041667,c1
0.305556,0.607829,0.050847,0.125,c1
0.222222,0.625,0.067797,0.083333,c1
0.138889,0.583333,0.152542,0.041667,c1
0.25,0.625,0.084746,0.041667,c1
0.25,0.583333,0.994234,0.041667,c1
0.055556,0.125,0.050847,0.083333,c1
0.222222,0.75,0.152542,0.125,c1
0.5,0.004911,0.627119,0.827932,c2
0.361111,0.375,0.440678,0.5,c2
0.72918,0.458333,0.576271,0.541667,c2
0.361111,0.208333,0.491525,0.416667,c2
0.444444,0.5,0.644068,0.708333,c2
0.305556,0.416667,0.59322,0.583333,c2
0.5,0.225604,0.610169,0.541667,c2
0.416667,0.25,0.508475,0.458333,c2
0.388889,0.416667,0.317816,0.458333,c2
0.527778,0.375,0.559322,0.559381,c2
0.916667,0.416667,0.949153,0.833333,c3
0.166667,0.208333,0.59322,0.666667,c3
0.666667,0.208333,0.813559,0.708333,c3
0.944444,0.333333,0.966102,0.791667,c3
0.555556,0.583333,0.779661,0.958333,c3
0.722222,0.458333,0.745763,0.833333,c3
0.666667,0.458333,0.779661,0.958333,c3
0.694444,0.5,0.830508,0.331121,c3
0.099656,0.541667,0.79661,1,c3
0.027778,0.5,0.050847,0.041667,c1
0.381969,0.083333,0.677966,0.583333,c3
0.083333,0.583333,0.067797,0.083333,c1
0.305556,0.708333,0.084746,0.041667,c1
0.388889,0.75,0.118644,0.083333,c1
0.222222,0.75,0.084746,0.083333,c1
0.166667,0.458333,0.084746,0,c1
0.166667,0.458333,0.996044,0,c1
0.027778,0.416667,0.050847,0.930766,c1
0.222222,0.75,0.101695,0.041667,c1
0.388889,0.333333,0.59322,0.5,c2
0.25,0.291667,0.491525,0.541667,c2
0.194444,0,0.423729,0.375,c2
0.444444,0.416667,0.542373,0.583333,c2
0.789489,0.166667,0.474576,0.338996,c2
0.361111,0.978662,0.525424,0.5,c2
0.333333,0.208333,0.508475,0.241814,c2
0.222222,0.15144,0.338983,0.416667,c2
0.531574,0.333333,0.87841,0.5,c2
0.555556,0.375,0.779661,0.708333,c3
0.805556,0.666667,0.864407,1,c3
0.388889,0.208333,0.677966,0.791667,c3
0.805556,0.416667,0.813559,0.625,c3
0.861111,0.333333,0.864407,0.75,c3
1,0.75,0.915254,0.791667,c3
0.416667,0.380098,0.694915,0.75,c3
0.666667,0.416667,0.711864,0.916667,c3
0.09521,0.208333,0.677966,0.75,c3
0.166667,0.458333,0.511132,0,c1
0.194444,0.625,0.101695,0.208333,c1
0.611111,0.333333,0.610169,0.583333,c2
0.944444,0.25,1,0.916667,c3
