@relation planning-relax

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute class {1,2}

@data
0.611362,0.397975,0.367333,0.47933,0.461323,0.43402,0.516877,0.616115,0.796997,0.603407,0.470664,0.360685,1
0.622161,0.418954,0.607689,0.490374,0.756914,0.442168,0.513802,0.753311,0.634894,0.635524,0.459567,0.552927,1
0.627196,0.759669,0.703365,0.714288,0.539456,0.789281,0.617787,0.474781,0.342323,0.600559,0.515638,0.823287,2
0.884466,0.7101,0.554595,0.683729,0.412937,0.710025,0.845587,0.543932,0.264169,0.475031,0.662561,0.794787,1
0.536585,0.558596,0.515363,0.558729,0.503817,0.590935,0.550577,0.219001,0.615096,0.675069,0.40144,0.609281,1
0.762091,0.655898,0.585075,0.551701,0.597093,0.601312,0.851875,0.147238,0.606642,0.746279,0.31084,0.693455,1
0.661787,0.632096,0.783382,0.784801,0.769668,0.620618,0.717488,0.184463,0.744774,0.599972,0.496869,0.324638,2
0.763392,0.543628,0.703093,0.684739,0.757227,0.522794,0.776379,0.339153,0.562803,0.331278,0.812792,0.27115,1
0.988153,0.499546,0.022656,0.164786,0.140964,0.413054,0.942467,0.75214,0.683778,0.672358,0.400612,0.548371,1
0.940275,0.667011,0.166285,0.162394,0.204428,0.581388,0.89771,0.729536,0.73882,0.569582,0.523978,0.362103,1
0.710337,0.494992,0.601319,0.532604,0.63552,0.546602,0.608444,0.438076,0.627546,0.622166,0.467356,0.549934,2
0.822408,0.733303,0.964003,0.947798,0.849694,0.737455,0.80613,0.433707,0.483682,0.442175,0.681257,0.527927,1
0.595275,0.480197,0.771343,0.663652,0.832497,0.51045,0.592584,0.346778,0.574309,0.430909,0.688204,0.386239,1
0.453111,0.601337,0.688638,0.66667,0.632685,0.658864,0.465579,0.226216,0.641281,0.590661,0.487157,0.508073,1
0.61182,0.335842,0.361151,0.320414,0.555198,0.366154,0.487944,0.65039,0.590544,0.451117,0.672955,0.428064,2
0.668407,0.049718,0.184454,0.043845,0.676195,0.010661,0.598281,0.626903,0.780005,0.589832,0.494698,0.350436,1
0.848306,0.84704,0.547095,0.869061,0.188622,0.917353,0.765273,0.376329,0.729217,0.572919,0.509838,0.403196,1
0.767155,0.994952,0.691341,0.918487,0.31699,1,0.779498,0.530342,0.890236,0.76974,0.279126,0.394873,1
0.628264,0.513528,0.514098,0.623432,0.468239,0.60015,0.507812,0.489167,0.732587,0.687694,0.382022,0.518761,2
0.788569,0.674592,0.499655,0.559123,0.429528,0.666771,0.783195,0.365383,1,0.944064,0.067576,0.457245,1
0.859606,0.488262,0.480111,0.448192,0.677432,0.378291,0.919378,0.529913,0.951901,0.766699,0.27697,0.331859,1
0.868335,0.457946,0.685866,0.507643,0.871156,0.409195,0.840181,0.55892,0.838545,0.577996,0.489181,0.322501,1
0.402448,0.054192,0.468122,0.315137,0.835496,0.149274,0.259076,0.45803,0.669713,0.685659,0.401833,0.5287,2
0.536769,0.339797,0.542137,0.455272,0.704827,0.380158,0.509815,0.396017,0.717617,0.886043,0.156907,0.673656,1
0.787633,0.561255,0.495602,0.631233,0.464798,0.565426,0.727424,0.685313,0.850906,0.748023,0.310192,0.434816,1
0.794922,0.364208,0.402028,0.364217,0.596751,0.351035,0.714485,0.585852,0.914076,0.732979,0.322206,0.362257,1
0.464951,0.226425,0.478846,0.439423,0.734307,0.276945,0.425209,0.18685,0.635758,0.616595,0.468094,0.521221,2
0.42747,0.27358,0.201006,0.298183,0.422443,0.291273,0.435032,0.236069,0.54879,0.474174,0.621489,0.485079,1
0.740753,0.498781,0.310949,0.421681,0.355335,0.515966,0.63314,0.572544,0.577578,0.509684,0.598645,0.500718,1
0.647818,0.736286,0.327057,0.520106,0.129735,0.78314,0.549163,0.72116,0.80411,0.666618,0.409901,0.396665,1
0.67509,0.603796,0.580614,0.525592,0.525053,0.655058,0.600906,0.435807,0.568509,0.722401,0.344514,0.739463,2
0.418876,0.534056,0.471312,0.652985,0.388665,0.632746,0.336488,0.451646,0.52912,0.489126,0.614058,0.568788,1
0.677154,0.46332,0.147347,0.289731,0.306435,0.406797,0.665783,0.524773,0.573541,0.373184,0.746719,0.393186,1
0.652199,0.590159,0.298711,0.414501,0.281547,0.592214,0.615764,0.552624,0.631009,0.670515,0.399688,0.612899,1
0.817403,0.692967,0.554815,0.828481,0.38635,0.716344,0.694251,1,0.925289,0.865697,0.161278,0.489304,2
0.91507,0.742057,0.390345,0.651049,0.282278,0.67571,0.890049,0.918512,0.873101,0.859956,0.161756,0.54082,1
0.832113,0.325428,0.368029,0.466309,0.561661,0.316277,0.762418,0.348844,0.870842,0.667701,0.417637,0.269042,1
0.778923,0.427812,0.274701,0.409913,0.382562,0.415843,0.703776,0.608129,0.734745,0.605351,0.484796,0.395065,1
0.798738,0.613068,0,0,0.131376,0.497313,0.816352,0.607462,0.85869,0.799424,0.257907,0.463402,2
0.575812,0.707123,0.130763,0.142982,0.093064,0.67271,0.598387,0.489086,0.770046,0.75091,0.317495,0.502573,1
0.852883,0.469405,0.338867,0.578993,0.356524,0.486554,0.694236,0.998868,0.728533,0.574186,0.505533,0.48422,1
0.989702,0.544237,0.414141,0.649535,0.424301,0.512835,0.922512,0.628978,0.742309,0.792785,0.256255,0.617523,1
0.854498,0.560856,0.66333,0.819859,0.595519,0.598476,0.727088,0.776853,0.560806,0.473552,0.654291,0.487001,2
0.752017,0.529487,0.793942,0.740994,0.835198,0.527175,0.706137,0.758391,0.581877,0.556293,0.543072,0.552552,1
0.7555,0.31014,0.466011,0.443034,0.620802,0.369917,0.579619,0.640042,0.561316,0.441065,0.676663,0.457825,1
0.638766,0.145169,0.626611,0.435503,0.975261,0.169342,0.561237,0.499551,0.588277,0.564326,0.540039,0.521928,1
0.881919,0.476761,0.4056,0.423764,0.50238,0.451754,0.796024,0.739494,0.48511,0.448668,0.655635,0.575601,2
0.739435,0.324121,0.639377,0.61117,0.837474,0.333784,0.615454,0.858623,0.521678,0.256155,0.882014,0.357873,1
0.575302,0.477291,0.816713,0.621814,0.917332,0.502362,0.570781,0.413614,0.847121,0.848188,0.186327,0.526361,1
0.821565,0.504559,0.741407,0.654973,0.762463,0.546281,0.702591,0.648715,0.442896,0.484303,0.635346,0.612362,1
0.706469,0.637069,0.28288,0.671477,0.093709,0.704047,0.595258,0.573261,0.690079,0.655053,0.427355,0.524535,2
0.991719,0.897207,0.371873,0.690111,0.083684,0.865367,1,0.347584,0.496875,0.699969,0.389219,0.745558,1
0.446675,0.800713,0.822507,0.915156,0.57851,0.88284,0.408461,0.494536,0.801592,0.708194,0.358164,0.461806,1
0.361405,0.555958,0.801452,0.685261,0.842022,0.594496,0.337227,0.61184,0.845207,0.575457,0.495577,0.311667,1
0.586295,0.476453,0.516184,0.537834,0.612042,0.47157,0.632641,0.175163,0.522848,0.611392,0.464427,0.67839,2
