@relation monk-2

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute class {0,1}

@data
0,0,0,0,0,0,1
0,0,0,0,0,1,1
0,0,0,0,0.333333,1,1
0,0,0,0,0.666667,0,1
0,0,0,0,0.666667,1,1
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,0.5,0,0,1
0,0,0,0.5,0,1,1
0,0,0,0.5,0.333333,0,1
0,0,0,0.5,0.333333,1,1
0,0,0,0.5,0.666667,0,1
0,0,0,0.5,0.666667,1,1
0,0,0,0.5,1,0,0
0,0,0,0.5,1,1,0
0,0,0,1,0,0,1
0,0,0,1,0,1,1
0,0,0,1,0.333333,1,1
0,0,0,1,0.666667,0,1
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,1,0,0,0,1
0,0,1,0,0,1,1
0,0,1,0,0.333333,1,1
0,0,1,0,0.666667,0,1
0,0,1,0,1,0,0
0,0,1,0,1,1,0
0,0,1,0.5,0,0,1
0,0,1,0.5,0,1,1
0,0,1,0.5,0.333333,0,1
0,0,1,0.5,0.333333,1,1
0,0,1,0.5,0.666667,0,1
0,0,1,0.5,0.666667,1,1
0,0,1,0.5,1,0,0
0,0,1,0.5,1,1,0
0,0,1,1,0,0,1
0,0,1,1,0,1,1
0,0,1,1,0.333333,0,1
0,0,1,1,0.333333,1,1
0,0,1,1,0.666667,0,1
0,0,1,1,0.666667,1,1
0,0,1,1,1,0,0
0,0,1,1,1,1,0
0,0.5,0,0,0,0,1
0,0.5,0,0,0,1,1
0,0.5,0,0,0.333333,0,1
0,0.5,0,0,0.333333,1,1
0,0.5,0,0,0.666667,0,1
0,0.5,0,0,0.666667,1,1
0,0.5,0,0,1,0,0
0,0.5,0,0.5,0,0,1
0,0.5,0,0.5,0,1,1
0,0.5,0,0.5,0.333333,0,1
0,0.5,0,0.5,0.333333,1,1
0,0.5,0,0.5,0.666667,0,1
0,0.5,0,0.5,0.666667,1,1
0,0.5,0,0.5,1,0,0
0,0.5,0,0.5,1,1,0
0,0.5,0,1,0,0,1
0,0.5,0,1,0,1,1
0,0.5,0,1,0.333333,0,1
0,0.5,0,1,0.333333,1,1
0,0.5,0,1,0.666667,0,1
0,0.5,0,1,0.666667,1,1
0,0.5,0,1,1,0,0
0,0.5,0,1,1,1,0
0,0.5,1,0,0,0,1
0,0.5,1,0,0,1,1
0,0.5,1,0,0.333333,0,1
0,0.5,1,0,0.333333,1,1
0,0.5,1,0,0.666667,0,1
0,0.5,1,0,0.666667,1,1
0,0.5,1,0,1,0,0
0,0.5,1,0,1,1,0
0,0.5,1,0.5,0,1,1
0,0.5,1,0.5,0.333333,0,1
0,0.5,1,0.5,0.666667,0,1
0,0.5,1,0.5,0.666667,1,1
0,0.5,1,0.5,1,0,0
0,0.5,1,0.5,1,1,0
0,0.5,1,1,0,0,1
0,0.5,1,1,0,1,1
0,0.5,1,1,0.333333,0,1
0,0.5,1,1,0.666667,0,1
0,0.5,1,1,0.666667,1,1
0,0.5,1,1,1,1,0
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,0.333333,0,0
0,1,0,0,0.333333,1,0
0,1,0,0,0.666667,0,1
0,1,0,0,0.666667,1,1
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,0.5,0,0,0
0,1,0,0.5,0.333333,0,0
0,1,0,0.5,0.333333,1,0
0,1,0,0.5,0.666667,1,0
0,1,0,0.5,1,0,0
0,1,0,1,0,0,0
0,1,0,1,0,1,0
0,1,0,1,0.333333,0,0
0,1,0,1,0.333333,1,0
0,1,0,1,0.666667,0,0
0,1,0,1,0.666667,1,0
0,1,0,1,1,0,0
0,1,0,1,1,1,0
0,1,1,0,0,0,0
0,1,1,0,0.333333,0,0
0,1,1,0,0.333333,1,0
0,1,1,0,0.666667,0,1
0,1,1,0,0.666667,1,1
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,0.5,0,0,0
0,1,1,0.5,0,1,0
0,1,1,0.5,0.333333,0,0
0,1,1,0.5,0.333333,1,0
0,1,1,0.5,0.666667,0,0
0,1,1,0.5,1,0,0
0,1,1,0.5,1,1,0
0,1,1,1,0,0,0
0,1,1,1,0,1,0
0,1,1,1,0.333333,0,0
0,1,1,1,0.333333,1,0
0,1,1,1,0.666667,0,0
0,1,1,1,0.666667,1,0
0,1,1,1,1,0,0
0,1,1,1,1,1,0
0.5,0,0,0,0,0,1
0.5,0,0,0,0,1,1
0.5,0,0,0,0.333333,0,1
0.5,0,0,0,0.333333,1,1
0.5,0,0,0,0.666667,0,1
0.5,0,0,0,0.666667,1,1
0.5,0,0,0,1,0,0
0.5,0,0,0,1,1,0
0.5,0,0,0.5,0,0,1
0.5,0,0,0.5,0,1,1
0.5,0,0,0.5,0.333333,0,1
0.5,0,0,0.5,0.333333,1,1
0.5,0,0,0.5,0.666667,0,1
0.5,0,0,0.5,0.666667,1,1
0.5,0,0,0.5,1,0,0
0.5,0,0,0.5,1,1,0
0.5,0,0,1,0,1,1
0.5,0,0,1,0.333333,0,1
0.5,0,0,1,0.333333,1,1
0.5,0,0,1,1,0,0
0.5,0,0,1,1,1,0
0.5,0,1,0,0,0,1
0.5,0,1,0,0,1,1
0.5,0,1,0,0.333333,1,1
0.5,0,1,0,0.666667,0,1
0.5,0,1,0,0.666667,1,1
0.5,0,1,0,1,0,0
0.5,0,1,0,1,1,0
0.5,0,1,0.5,0,0,1
0.5,0,1,0.5,0,1,1
0.5,0,1,0.5,0.333333,0,1
0.5,0,1,0.5,0.333333,1,1
0.5,0,1,0.5,0.666667,0,1
0.5,0,1,0.5,0.666667,1,1
0.5,0,1,0.5,1,0,0
0.5,0,1,0.5,1,1,0
0.5,0,1,1,0,0,1
0.5,0,1,1,0,1,1
0.5,0,1,1,0.666667,0,1
0.5,0,1,1,0.666667,1,1
0.5,0,1,1,1,0,0
0.5,0.5,0,0,0,1,1
0.5,0.5,0,0,0.333333,0,1
0.5,0.5,0,0,0.333333,1,1
0.5,0.5,0,0,0.666667,0,1
0.5,0.5,0,0,0.666667,1,1
0.5,0.5,0,0,1,0,0
0.5,0.5,0,0,1,1,0
0.5,0.5,0,0.5,0,0,1
0.5,0.5,0,0.5,0,1,1
0.5,0.5,0,0.5,0.333333,1,1
0.5,0.5,0,0.5,0.666667,0,1
0.5,0.5,0,0.5,0.666667,1,1
0.5,0.5,0,0.5,1,0,0
0.5,0.5,0,1,0,0,1
0.5,0.5,0,1,0,1,1
0.5,0.5,0,1,0.333333,0,1
0.5,0.5,0,1,0.333333,1,1
0.5,0.5,0,1,0.666667,0,1
0.5,0.5,0,1,0.666667,1,1
0.5,0.5,0,1,1,0,0
0.5,0.5,0,1,1,1,0
0.5,0.5,1,0,0,0,1
0.5,0.5,1,0,0,1,1
0.5,0.5,1,0,0.333333,0,1
0.5,0.5,1,0,0.333333,1,1
0.5,0.5,1,0,0.666667,0,1
0.5,0.5,1,0,0.666667,1,1
0.5,0.5,1,0,1,0,0
0.5,0.5,1,0,1,1,0
0.5,0.5,1,0.5,0,0,1
0.5,0.5,1,0.5,0,1,1
0.5,0.5,1,0.5,0.333333,0,1
0.5,0.5,1,0.5,0.333333,1,1
0.5,0.5,1,0.5,0.666667,0,1
0.5,0.5,1,0.5,0.666667,1,1
0.5,0.5,1,0.5,1,0,0
0.5,0.5,1,0.5,1,1,0
0.5,0.5,1,1,0,0,1
0.5,0.5,1,1,0,1,1
0.5,0.5,1,1,0.333333,0,1
0.5,0.5,1,1,0.333333,1,1
0.5,0.5,1,1,0.666667,0,1
0.5,0.5,1,1,1,0,0
0.5,0.5,1,1,1,1,0
0.5,1,0,0,0,0,0
0.5,1,0,0,0,1,0
0.5,1,0,0,0.333333,0,0
0.5,1,0,0,0.333333,1,0
0.5,1,0,0,0.666667,0,1
0.5,1,0,0,0.666667,1,1
0.5,1,0,0,1,0,0
0.5,1,0,0,1,1,0
0.5,1,0,0.5,0,0,0
0.5,1,0,0.5,0,1,0
0.5,1,0,0.5,0.333333,1,0
0.5,1,0,0.5,0.666667,0,0
0.5,1,0,0.5,0.666667,1,0
0.5,1,0,0.5,1,1,0
0.5,1,0,1,0,0,0
0.5,1,0,1,0,1,0
0.5,1,0,1,0.333333,0,0
0.5,1,0,1,0.333333,1,0
0.5,1,0,1,0.666667,0,0
0.5,1,0,1,1,0,0
0.5,1,1,0,0,0,0
0.5,1,1,0,0,1,0
0.5,1,1,0,0.333333,0,0
0.5,1,1,0,0.333333,1,0
0.5,1,1,0,0.666667,0,1
0.5,1,1,0,0.666667,1,1
0.5,1,1,0,1,0,0
0.5,1,1,0,1,1,0
0.5,1,1,0.5,0,0,0
0.5,1,1,0.5,0,1,0
0.5,1,1,0.5,0.333333,0,0
0.5,1,1,0.5,0.333333,1,0
0.5,1,1,0.5,0.666667,1,0
0.5,1,1,0.5,1,0,0
0.5,1,1,0.5,1,1,0
0.5,1,1,1,0,0,0
0.5,1,1,1,0,1,0
0.5,1,1,1,0.333333,0,0
0.5,1,1,1,0.333333,1,0
0.5,1,1,1,0.666667,0,0
0.5,1,1,1,0.666667,1,0
0.5,1,1,1,1,0,0
0.5,1,1,1,1,1,0
1,0,0,0,0,0,1
