@relation tae

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute class {1,2,3}

@data
0,0.916667,0.08,0,0.253968,3
1,0.583333,0.08,0,0.222222,3
0,0.916667,0.08,1,0.730159,3
0,0.166667,0.04,1,0.47619,3
1,0.25,0.4,1,0.825397,3
1,0.916667,0.08,0,0.269841,3
1,0.333333,0.16,1,0.253968,3
1,0.375,0.08,1,0.380952,3
0,0.875,0.08,0,0.873016,3
1,0.583333,0.08,0,0.269841,3
1,0.375,0.84,1,0.095238,3
1,0.5,0,1,0.428571,3
1,0.708333,0.8,1,0.412698,3
1,0.208333,0.64,1,0.571429,3
1,0.208333,0.64,1,0.619048,2
1,0.208333,0.64,1,0.634921,2
1,0.25,0.4,1,0.111111,2
1,0.875,0.08,1,0.68254,2
1,0.5,0.08,0,0.111111,2
1,0.25,0.96,1,0.619048,2
1,1,0.24,1,0.380952,2
1,1,0.24,1,0.31746,2
1,0.041667,0.32,1,0.444444,2
1,0,0.56,0,0.301587,2
1,0.583333,0.48,1,0.539683,2
1,0.25,0.4,1,0.15873,2
1,0.291667,0.08,1,0.333333,2
1,0.541667,0.56,1,0.555556,2
1,0.833333,0.04,1,0.619048,1
1,0.875,0.08,1,0.396825,1
1,0.416667,0,1,0.761905,1
1,0.708333,0.16,1,0.253968,1
1,0.5,0,1,0.444444,1
0,0.5,0.08,0,0.15873,1
1,0.166667,0.04,1,0.539683,1
1,0.625,0.28,1,0.52381,1
1,0.125,0.6,1,0.285714,1
1,0.166667,0.04,1,0.714286,1
1,0.541667,0.56,1,0.555556,1
0,0.916667,0.08,0,0.253968,3
1,0.583333,0.08,0,0.222222,3
0,0.916667,0.08,1,0.730159,3
0,0.166667,0.04,1,0.47619,3
1,0.25,0.4,1,0.825397,3
1,0.916667,0.08,0,0.269841,3
1,0.333333,0.16,1,0.253968,3
1,0.375,0.08,1,0.380952,3
0,0.875,0.08,1,0.873016,3
1,0.583333,0.08,0,0.269841,3
1,0.375,0.84,1,0.095238,3
1,0.5,0,1,0.428571,3
1,0.708333,0.8,1,0.412698,3
1,0.208333,0.64,1,0.571429,3
1,0.208333,0.64,1,0.619048,2
1,0.208333,0.64,1,0.634921,2
1,0.25,0.4,1,0.111111,2
1,0.875,0.08,1,0.68254,2
1,0.5,0.08,0,0.111111,2
1,0.25,0.96,1,0.619048,2
1,1,0.24,1,0.380952,2
1,1,0.24,1,0.31746,2
1,0.041667,0.32,1,0.444444,2
1,0,0.56,0,0.301587,2
1,0.583333,0.48,1,0.539683,2
1,0.25,0.4,1,0.15873,2
1,0.291667,0.08,1,0.333333,2
1,0.541667,0.56,1,0.555556,2
1,0.833333,0.04,1,0.619048,1
1,0.875,0.08,1,0.396825,1
1,0.416667,0,1,0.761905,1
1,0.708333,0.16,1,0.253968,1
1,0.5,0,1,0.444444,1
0,0.5,0.08,0,0.15873,1
1,0.166667,0.04,1,0.539683,1
1,0.625,0.28,1,0.52381,1
1,0.125,0.6,1,0.285714,1
1,0.166667,0.04,1,0.714286,1
1,0.541667,0.56,1,0.555556,1
0,0.916667,0.08,0,0.349206,3
0,0.5,0.08,0,0.222222,3
1,0.625,0.72,1,0.126984,3
1,0.333333,0.04,1,0.571429,3
1,0.5,0.08,0,0.126984,3
1,0.708333,0.8,1,0.253968,3
0,0.875,0.08,1,0.666667,3
1,0.25,0.4,0,0.269841,3
1,0.916667,0.08,0,0.269841,3
0,0.916667,0.08,0,0.269841,3
0,0.916667,0.08,1,0.555556,3
1,0.541667,0.84,1,0.222222,3
0,0.666667,0.64,1,0.253968,3
1,0.333333,0.16,1,0.333333,3
1,0.708333,0.96,1,0.349206,3
0,0.666667,0.64,1,0.444444,3
1,0,0.56,1,0.444444,3
1,0,0.28,1,0.238095,2
0,0.416667,0.6,1,0.301587,2
0,0.875,0.48,1,0.380952,2
1,0.333333,0.04,1,0.174603,2
1,0.5,0,1,0.269841,2
0,0.208333,0.64,1,0.507937,2
1,0.916667,0.08,0,0.269841,2
0,0.916667,0.08,0,0.269841,2
1,0.208333,0.64,1,0.539683,2
0,0.875,0.08,1,0.190476,2
1,0.791667,0.04,1,0.349206,2
1,0.916667,0.08,1,0.111111,2
1,0.791667,0.04,1,0.174603,1
0,0.916667,0.08,1,0.555556,1
1,0.5,0,1,0.412698,1
1,0.375,0.08,1,0.253968,1
1,0.25,0.4,1,0.428571,1
0,0.541667,0.56,1,0.460317,1
1,0.291667,0.08,1,0.380952,1
1,0.458333,0.24,1,0.492063,1
1,0.291667,0.24,1,0.31746,1
1,0.583333,0,1,1,1
1,0.916667,0.08,1,0.142857,1
1,0.041667,0.32,1,0.412698,1
1,0.583333,0,1,0.253968,1
1,0.791667,0.04,1,0,1
1,0.5,0.52,1,0.222222,3
1,0.333333,0.2,1,0.063492,3
0,0.375,0.08,1,0.285714,3
1,0.541667,0.56,1,0.52381,3
0,0.5,0,1,0.809524,3
0,0.291667,0.08,1,0.412698,3
1,0.791667,0.04,1,0.666667,3
1,0.875,0,1,0.126984,2
1,0.708333,0.44,1,0.206349,2
1,0.791667,0.56,1,0.238095,2
0,0.666667,0.68,1,0.650794,2
1,0.541667,0.88,1,0.222222,2
1,0.958333,1,1,0.285714,2
1,0.333333,0.92,1,0.269841,2
1,0.458333,0.28,1,0.333333,2
1,0.333333,0.2,1,0.031746,2
1,0.875,0,1,0.619048,2
1,0.25,0.4,1,0.428571,1
1,0.375,0.08,1,0.253968,1
1,0.916667,0.08,1,0.126984,1
1,0.666667,0.68,1,0.412698,1
1,0.625,0.76,1,0.190476,1
1,0.083333,0.04,1,0.539683,1
1,0.75,0.12,1,0.111111,1
1,0.916667,0.08,1,0.333333,1
1,0.083333,0.04,1,0.365079,1
1,0.375,0.08,1,0.142857,1
0,0.708333,0.24,1,0.714286,1
1,0.875,0,1,0.761905,1
1,0.041667,0.36,1,0.380952,1
